"Date","Price","Open","High","Low","Vol.","Change %"
"04/17/2026","1,855.83","1,850.19","1,875.00","1,832.50","360.96K","1.85%"
"04/16/2026","1,822.13","1,860.74","1,891.50","1,808.60","412.60K","-2.67%"
"04/15/2026","1,872.12","1,858.19","1,887.07","1,843.04","470.74K","1.71%"
"04/14/2026","1,840.66","1,841.00","1,878.85","1,836.34","358.27K","0.48%"
"04/13/2026","1,831.93","1,761.75","1,839.01","1,761.11","465.48K","3.27%"
"04/10/2026","1,773.96","1,801.00","1,812.89","1,756.87","366.93K","-1.07%"
"04/09/2026","1,793.20","1,783.49","1,802.22","1,744.10","322.69K","0.98%"
"04/08/2026","1,775.74","1,822.79","1,843.91","1,765.43","521.11K","1.92%"
"04/07/2026","1,742.30","1,714.26","1,744.91","1,691.91","351.32K","1.87%"
"04/06/2026","1,710.37","1,706.58","1,727.26","1,694.00","210.67K","-0.30%"
"04/02/2026","1,715.52","1,689.96","1,737.99","1,684.08","290.51K","-0.20%"
"04/01/2026","1,718.97","1,740.16","1,741.04","1,692.31","643.62K","-0.58%"
"03/31/2026","1,729.02","1,645.00","1,741.64","1,631.02","800.44K","6.78%"
"03/30/2026","1,619.20","1,608.05","1,633.58","1,598.23","385.82K","1.23%"
"03/27/2026","1,599.52","1,618.95","1,633.12","1,593.21","546.36K","-1.93%"
"03/26/2026","1,630.99","1,624.77","1,668.59","1,620.00","290.14K","-0.52%"
"03/25/2026","1,639.47","1,637.10","1,658.66","1,617.25","403.80K","1.70%"
"03/24/2026","1,612.02","1,647.32","1,653.52","1,606.21","511.06K","-3.24%"
"03/23/2026","1,666.08","1,662.46","1,691.79","1,637.21","460.67K","1.85%"
"03/20/2026","1,635.76","1,656.00","1,671.72","1,631.18","537.38K","-1.87%"
"03/19/2026","1,666.93","1,680.02","1,684.03","1,648.51","427.48K","-1.38%"
"03/18/2026","1,690.26","1,718.45","1,741.21","1,686.99","366.87K","-2.19%"
"03/17/2026","1,728.14","1,733.33","1,752.26","1,711.00","362.73K","-0.24%"
"03/16/2026","1,732.33","1,685.00","1,741.96","1,681.00","466.01K","3.73%"
"03/13/2026","1,670.00","1,670.80","1,695.00","1,645.91","678.93K","-0.60%"
"03/12/2026","1,680.00","1,700.00","1,712.69","1,631.18","1.20M","-4.88%"
"03/11/2026","1,766.10","1,745.26","1,766.56","1,726.46","367.97K","1.38%"
"03/10/2026","1,742.09","1,773.49","1,773.49","1,723.70","442.01K","-1.55%"
"03/09/2026","1,769.52","1,742.71","1,769.52","1,721.41","601.17K","-1.03%"
"03/06/2026","1,787.86","1,758.13","1,794.17","1,738.55","440.04K","0.42%"
"03/05/2026","1,780.36","1,769.70","1,810.62","1,765.00","489.82K","0.64%"
"03/04/2026","1,769.03","1,731.76","1,789.00","1,727.00","520.95K","3.21%"
"03/03/2026","1,714.01","1,688.88","1,721.96","1,660.20","977.64K","-3.54%"
"03/02/2026","1,777.00","1,700.15","1,780.00","1,682.12","818.93K","1.10%"
"02/27/2026","1,757.58","1,739.37","1,775.98","1,721.41","792.93K","0.96%"
"02/26/2026","1,740.88","1,791.00","1,796.00","1,731.26","1.09M","-1.52%"
"02/25/2026","1,767.71","1,760.12","1,781.48","1,654.24","2.38M","-8.05%"
